=== Benchmark run started: Mon Mar 16 11:34:55 UTC 2026 ===
Repo: /home/ogurcov002/ws/Thesis-Bench-industry

=== Step 1: Downloading SOSD data in background ===
SOSD download PID=25155 (log: /home/ogurcov002/ws/Thesis-Bench-industry/bench_results/logs/sosd_download.log)

=== Step 2: Generate synthetic keys ===

--- [GenerateSyntheticKeys] started: Mon Mar 16 11:34:55 UTC 2026 ---
=== RUN   TestGenerateSyntheticKeys
    throughput_test.go:98: skipping clustered_16M_uint64 (already exists; set REGEN=1 to regenerate)
    throughput_test.go:98: skipping uniform_16M_uint64 (already exists; set REGEN=1 to regenerate)
    throughput_test.go:98: skipping spread_16M_uint64 (already exists; set REGEN=1 to regenerate)
    throughput_test.go:98: skipping zipfian_16M_uint64 (already exists; set REGEN=1 to regenerate)
--- PASS: TestGenerateSyntheticKeys (0.00s)
PASS
ok  	Thesis-bench-industry/bench	0.003s
--- [GenerateSyntheticKeys] PASSED: Mon Mar 16 11:34:56 UTC 2026 ---

=== Step 3: Build throughput ===

--- [BuildThroughput] started: Mon Mar 16 11:34:56 UTC 2026 ---
=== RUN   TestBuildThroughput
=== RUN   TestBuildThroughput/clustered

=== Build Throughput — clustered (ε=0.01, L=100) ===
Filter           | N        | Throughput       | Time      
Adaptive(t=0)    | N=1024     | 2.58 M keys/sec | 0.4 ms
Adaptive(t=0)    | N=4096     | 2.61 M keys/sec | 1.6 ms
Adaptive(t=0)    | N=16384    | 2.47 M keys/sec | 6.6 ms
Adaptive(t=0)    | N=65536    | 2.45 M keys/sec | 26.8 ms
Adaptive(t=0)    | N=262144   | 2.22 M keys/sec | 118.3 ms
Adaptive(t=0)    | N=1048576  | 2.05 M keys/sec | 511.3 ms
Adaptive(t=0)    | N=4194304  | 2.69 M keys/sec | 1560.6 ms
Adaptive(t=0)    | N=16777216 | 2.34 M keys/sec | 7166.5 ms
SODA             | N=1024     | 3.27 M keys/sec | 0.3 ms
SODA             | N=4096     | 3.38 M keys/sec | 1.2 ms
SODA             | N=16384    | 3.18 M keys/sec | 5.2 ms
SODA             | N=65536    | 3.02 M keys/sec | 21.7 ms
SODA             | N=262144   | 2.61 M keys/sec | 100.5 ms
SODA             | N=1048576  | 2.75 M keys/sec | 380.8 ms
SODA             | N=4194304  | 3.69 M keys/sec | 1136.4 ms
SODA             | N=16777216 | 2.74 M keys/sec | 6120.8 ms
Truncation       | N=1024     | 8.23 M keys/sec | 0.1 ms
Truncation       | N=4096     | 9.24 M keys/sec | 0.4 ms
Truncation       | N=16384    | 9.96 M keys/sec | 1.6 ms
Truncation       | N=65536    | 10.20 M keys/sec | 6.4 ms
Truncation       | N=262144   | 10.13 M keys/sec | 25.9 ms
Truncation       | N=1048576  | 13.01 M keys/sec | 80.6 ms
Truncation       | N=4194304  | 15.88 M keys/sec | 264.2 ms
Truncation       | N=16777216 | 12.99 M keys/sec | 1291.3 ms
Hybrid           | N=1024     | 1.34 M keys/sec | 0.8 ms
Hybrid           | N=4096     | 3.60 M keys/sec | 1.1 ms
Hybrid           | N=16384    | 7.67 M keys/sec | 2.1 ms
